"R1"	"R2"	"R3"	"R4"	"R7"	"R8"	"R9"	"R10"	"R13"	"R15"	"R16"	"R19"	"R20"	"R21"
"227059"	238	1000	2149	3941	206	718	2572	5378	885	2496	4247	215	2866	2702
"442837"	0	0	0	0	0	0	0	0	0	1	0	4	0	0
"56363"	0	0	0	0	0	3	0	0	0	0	0	0	0	0
"442821"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"20324"	0	100	3	29	0	0	1	1	0	0	32	77	2	159
"109019"	642	1250	498	636	548	824	510	1120	712	491	548	254	461	468
"100045066"	0	0	2	0	0	1	2	1	1	0	0	0	1	0
"17912"	1738	1280	1401	1459	1452	1875	1774	3536	2952	2025	1300	336	1960	1245
"20849"	1	0	0	3	0	0	0	1	1	3	1	0	2	0
"100042634"	90	68	96	45	97	40	96	190	47	72	45	26	47	57
"20846"	550	968	734	1284	478	963	845	2764	866	1080	1127	362	1446	1974
"14660"	6823	11776	7768	7936	5081	14137	9239	14021	11910	10140	5931	1546	11124	5919
"17936"	1445	3223	1605	3527	1256	2427	1737	7368	1844	1761	3391	1314	3183	3100
"227094"	191	117	150	212	105	180	267	194	225	164	272	16	205	187
"98682"	981	1751	1072	2031	865	2563	1205	5146	2195	1651	1972	376	2745	2197
"16329"	57	73	65	124	43	85	103	187	82	57	108	7	126	121
"227095"	1000	759	626	621	813	572	787	914	846	558	644	252	514	528
"67080"	99	93	52	76	115	150	109	93	185	48	44	4	67	53
"17700"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"69397"	0	2	1	1	0	0	0	0	0	0	0	0	0	4
"227099"	365	257	471	498	318	241	526	951	506	594	451	133	307	316
"227102"	811	821	680	765	670	696	889	1012	932	647	903	114	867	781
"72085"	350	263	332	329	323	283	380	538	363	370	310	72	295	253
"70396"	2378	2139	1498	2073	1774	1776	2402	3010	2612	1438	1937	570	1752	1964
"627872"	1	10	4	18	0	3	3	24	2	10	17	0	13	20
"98267"	2016	4114	1878	2309	1718	3245	2217	3700	2439	2012	1298	631	2538	1340
"329152"	1	4	8	12	2	1	6	24	4	6	1	0	15	13
"78016"	5	3	14	3	9	6	8	10	6	9	7	3	1	2
"98488"	426	696	460	825	403	540	643	1072	651	496	800	194	632	863
"241062"	5522	32904	8045	28183	4465	14186	10172	26824	5650	5636	18154	4750	13001	27763
"329154"	100	683	124	481	86	409	161	511	227	296	370	229	320	633
"81898"	10564	12445	9587	10565	8130	11393	11798	15687	12868	9792	13278	2907	12736	11570
"67876"	448	983	406	1261	371	703	637	1457	413	317	1339	157	1110	1416
"15510"	10145	8349	7298	8223	8313	6204	8329	12710	7725	5372	12049	2579	5273	6678
"15528"	2193	1520	1876	1260	1939	1077	1885	2532	1502	1367	2042	796	1107	1311
"19070"	2675	3031	1798	2625	2038	2002	1992	3378	2600	1598	2517	656	2524	2408
"74013"	30	38	21	16	23	62	19	88	74	22	10	5	30	12
"212679"	473	536	302	504	387	529	440	705	595	222	685	61	395	422
"75388"	0	2	0	0	0	1	3	0	1	0	2	0	0	1
"227120"	10	6	0	2	5	7	2	5	12	1	0	0	2	0
"626009"	299	322	214	479	253	335	549	411	308	121	1053	58	600	762
"329159"	0	0	0	0	0	1	0	0	3	0	0	0	0	0
"71066"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"212712"	130	166	155	228	153	742	232	1508	881	656	141	24	713	103
"329160"	14	25	21	24	12	127	33	225	157	136	21	4	137	19
"407809"	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"75323"	21	26	17	32	10	20	15	79	24	29	31	4	18	19
"73467"	309	257	227	284	243	232	252	478	322	193	374	72	223	166
"68736"	106	170	133	208	87	134	137	325	108	115	217	38	215	239
"68115"	509	460	354	535	460	444	459	748	413	257	495	107	461	591
